State,!=,%,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,batapim,caractere,chimpanzini,delimitare,dunmadin,finitini,id,larila,lirili,porcoala,porcodio,sahur,saturnita,string,tralala,tralalero,tripi,tropa,tung,valor_inteiro,valor_real,||,$,ATRIBUICAO,BLOCO,BLOCO_DECISAO,BLOCO_REPETICAO,COMANDO,COMENTARIO,DECISAO,DECLARACAO,ENTRADA,EXPRESSAO,LACO_CONTADO,LACO_DE_REPETICAO,LISTA_DE_COMANDOS,OPERADOR,OPERADOR_ARITMETICO,OPERADOR_LOGICO,OPERADOR_RELACIONAL,PROGRAMA,SAIDA,TERMO,TIPO_DE_VARIAVEL,VALOR_BOOL
68,error,error,error,error,error,error,error,error,error,error,error,error,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,,,,,,,,,,,,,,,,,,,,,,
69,error,error,error,error,error,error,error,error,error,s78,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,,,,,,,,,,,,,,,,,,,,,
70,error,error,error,error,error,error,error,error,error,s79,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,,,,,,,,,,,,,,,,,,,,,
71,error,error,error,error,error,error,error,error,error,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,,,,,,,,,,,,,,,,,,,,,,
72,error,error,error,error,error,error,error,error,error,error,error,error,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,,,,,,,,,,,,,,,,,,,,,,
73,s47,s65,s60,error,error,s55,s52,s61,s48,s80,s56,s59,error,s58,s51,s63,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s66,error,,,,,,,,,,,,,,67,53,57,50,,,,,
74,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s64,error,error,error,error,s10,error,error,s62,error,error,error,error,error,error,error,error,error,error,error,,82,49,46,,,81,,,,,,,,,,,,,,,
75,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s83,error,error,error,error,error,error,error,error,error,error,error,,,,,,,,,,,,,,,,,,,,,,
76,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s84,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,,,,,,,,,,,,,,,,,,,,,
77,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,
